,Scn11a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn9a,Scn10a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Cntnap2,2.911400684865678,2.336050088387321,2.3236265921123724,2.9873226782203592,3.012653120351502,2.4316428346287466,2.415561043528527,0.5854964662441028,0.5059164386058402,0.6549995808173691,0.04776182529255358,0.5752815239812994,0.08613693561748496,0.04217120565030396
Atp1a2,0.02170931307095197,0.012983669758579404,0.02456638242804343,0.013281510685580243,0.026640239361853734,0.004467617828540498,0.015951050213680516,0.03326996366887172,0.019194209524238188,0.024621536866615824,0.020672384604046818,0.010832594093787567,0.008427802385371727,0.011891585372525283
Dlg2,3.0746585879407635,2.319829953390793,1.8305454969590425,2.7869403502780234,2.316740206653971,2.0402907777196706,1.5254697512803428,0.6762194703596242,1.08934860698391,0.33860956060492864,0.13577098824630762,0.774639834481665,0.3084382408950431,0.4701093113211431
Cav1,0.10609714879165792,0.08432612455781394,0.06552107748435883,0.07045923037186025,0.05986646218468975,0.049219771388818924,0.03302632085058547,0.043857904671858954,0.05912689628702256,0.009460303447283231,0.0182888924182434,0.022109992195439108,0.03670875111722682,0.014760538121785065
Dcdc2a,0.09542389612409323,0.023732368987561852,0.029810880344812347,0.05115256188273988,0.05994167925824873,0.019567570694635307,0.012820132874045716,0.13504764919053447,0.11657944813348174,0.09139288530982786,0.060436104116366046,0.07156937929186619,0.044486557780254884,0.01733393593883965
Casr,0.9058518825716186,0.861809727385649,0.7788584117848176,0.39995736668527787,0.3177928162713832,0.34993925582387525,0.26668819452940856,0.4462662333335697,0.5273067688257036,0.04998061939196284,0.4194213203886561,0.031247252758581135,0.5014734642816752,0.08250173980432424
Igsf11,0.2260258938801897,0.11517939711277836,0.05695869534762017,0.2091149789487391,0.14761304355957747,0.09549205535894068,0.034621126707382356,0.07271278076728856,0.13528741825896493,0.05199479002906701,0.039753299195390494,0.11316018755048439,0.02513502202169033,0.06196466437080708
Cacna1e,21.864289509990957,22.39202250028055,20.459131806689683,18.29213067787995,17.014848633876174,18.792813079670204,17.166823720847333,1.8276391703578525,3.2534534729052655,1.684516740710424,2.1630670453570278,0.6275746846264036,3.9233255163809435,1.4199123522150414
Hoxb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcne2,0.020873720435846385,0.01340386065568855,0.01401122298448032,0.013969336185804407,0.014590661280553622,0.012587062834320805,0.013194425350512127,0.008810245958166422,0.008537979892777471,0.001975673289117033,0.0013264237118904268,0.0017034072799479477,0.0010611389170404662,0.0002652847386300943
Kcnab1,1.2557482521091738,0.867913904049872,1.0887487995635112,1.150626475776528,1.3622324339967302,0.7628360715266602,1.00072249226283,0.6539128607530539,0.47880511178575186,0.5942105505694817,0.2948859433264948,0.3892406531849124,0.0933878723196396,0.2285915382360911
Slc6a11,0.4650217850995251,0.3450657936753316,0.36339608381354127,0.4144476917950602,0.43328200393987215,0.29267458643603567,0.3126628308181263,0.19039897046884993,0.17123306747526185,0.14595264988067916,0.06851975568217497,0.1255665018206877,0.04813360317165805,0.021447240111232873
Nalcn,3.6205535444287,3.336268921446689,3.5829450518440766,2.575146205093651,2.8744882996344114,2.276151200676881,2.611505976492633,1.5989887878772358,1.342598208519034,0.649823375771887,1.3299001116183164,0.3116931595247863,1.046101112131938,0.35554671322008835
Pias3,0.02272238958970853,0.014640294163660039,0.03514033403560717,0.011002897260036316,0.026894963290415696,0.002294915931064751,0.022214424026896218,0.0359022808579956,0.018132556875354203,0.022504688758363214,0.03139408762940882,0.007365500965144613,0.01132944637649223,0.018023707372779574
Ephb1,0.8391367442139893,0.36935394226103935,0.33977063809581604,0.7896940572410814,0.7558404554592819,0.3236670360766434,0.30663733397806725,0.4337169051287334,0.49988062294623775,0.3955930488890899,0.012193464671685911,0.4552226856798722,0.04203401149800421,0.05011153942796208
Phox2b,0.029830990474961478,0.023127850268723896,0.020785789053239197,0.0010599844133121986,0.0013729322497751679,0.007137228431746644,0.008681777111123208,0.03530252815815987,0.037402307132217184,0.006581998408053893,0.02846815252819745,0.006410381978452497,0.030436694723589935,0.0009691286134251303
Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pid1,0.51687987580468,0.4598762481719678,0.323308379956709,0.5479204068007081,0.3995749063452506,0.4926441804520588,0.3528047245508601,0.12918725043970472,0.025910733845310438,0.09668105966482105,0.1763761918572676,0.0586001329158654,0.03295112520722822,0.14583293393440402
Kcnd2,2.016040666085927,0.6467114202492801,0.7694570380135929,2.357017578215066,2.479612631148064,0.9827182084585409,1.1138978888075404,1.1920634930661846,1.0480821382164305,1.5526194553640185,0.18133221607300895,1.3871010126724612,0.32968123337454097,0.15723491335336653
Nrcam,0.29366993631590743,0.44267696290809105,0.7113325778385445,0.1297849007277871,0.13657086100527807,0.01831355523494855,0.29077383855537875,0.5619848247559379,0.2902343638772424,0.13313528856661305,0.7186580008852387,0.14744542007851155,0.44006480984404805,0.2861741559784685
Scn10a,0.38080368488995825,0.31106018799682095,0.0,0.5097144699715793,0.0,0.4494150870575726,0.0,0.0,0.08082619402964784,0.0,0.0,0.05008066054960176,0.13793780900483946,0.0
Myc,0.02198539242700673,0.02198539242700673,0.023162324204818084,0.0015852541485159135,0.002738166217451416,0.0015852541485159135,0.002738166217451416,0.02138491689858152,0.02036811328950001,0.0010087980710644844,0.02138491689858152,0.0,0.02036811328950001,0.0010087980710644844
Zfhx2,0.022047709846085624,0.01740608621591483,0.020012668683687472,0.007170268369845597,0.003515856252820191,0.011690654856083215,0.00853850800105292,0.04045832571427227,0.034760213365285494,0.011274987554040368,0.03411939282023077,0.004823477602633728,0.029451791109651917,0.005369041554032172
Cacnb2,0.5381417993295801,0.6620579716147436,0.6138385328551735,0.4494309172941538,0.4043509774032613,0.5704222403698025,0.5301454917719132,0.09504354218757174,0.02736996430909191,0.17358460879109203,0.02482080039832638,0.10765519332425154,0.08535672225288503,0.054578930119110754
Ucn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snap25,0.3667754530477931,0.3613026612588192,0.4277684880673412,0.2564159365799045,0.32670775074142555,0.2515993945410017,0.3230922489885214,0.18694132380226008,0.12106982149595487,0.08080401448440065,0.17993318679145473,0.007701516981612606,0.11317019773182421,0.07385779233479269
Nrg1,1.182114308813878,0.831431390914837,0.8961113345669675,0.5283764261423671,0.6058747480449242,0.17828146939211179,0.2187358367946932,1.1708247336259996,1.048756089384458,0.5066204356791546,0.7773354286255592,0.37855412061244753,0.6679674978969677,0.10419352339842594
Pclo,0.027834713156108762,0.3419406838565878,0.2721783541216712,0.10878106973001916,0.1677605708692304,0.20452245399858593,0.13656563205393984,0.22964892966016054,0.1735782756548979,0.3698756923664106,0.08129742502055119,0.3170649791843861,0.1464958523278129,0.0630920166274168
Snca,0.1636475270709473,0.19369821796672476,0.1749152429503896,0.278857471403786,0.27971218382719304,0.311076226888328,0.3114514753605956,0.16956802391965056,0.15020133100063016,0.0302278872884956,0.1453335969061255,0.028424636333551363,0.12411153480017746,0.002856014058894389
Akap6,1.0076250535054798,1.41341867664772,1.7314936739102302,0.49374956449027946,0.8039925540280917,0.9003975830454822,1.2223648426690028,0.4239733916003863,0.1267363349492818,0.0931773136764984,0.8328523646933513,0.39791413241486406,0.5224195227808913,0.31560670734742224
Lrrc7,0.8935238138244934,0.5918969633977539,0.4803815966521909,0.9285443414567859,0.8215315780059679,0.623515510107025,0.5071973245460927,0.1965652255622216,0.2876686228343753,0.2304350844107756,0.1286253998571925,0.3231894467162461,0.027165924776696476,0.10431114691603727
Ptn,0.039523040273047746,0.14183544611381727,0.1589091766075138,0.023544851258010934,0.015578966961870264,0.07412542975238537,0.08599069529231886,0.015653240759778544,0.012180932452083933,0.08630636625432868,0.0836232160369447,0.08154354471107057,0.07637221696778929,0.010156966318877206
Slc6a4,0.24252648687072498,0.09475027218200027,0.03790621778622792,0.2746597158730057,0.25811965135696,0.12602824510505428,0.10803730237582043,0.07738549820370026,0.1334812014803159,0.1516248711449117,0.09328411656065919,0.16784421053158063,0.03508081560328246,0.01710514208286808
Kdr,0.008181845912848523,0.028143230276092265,0.0035686775250997095,0.011876249533676175,0.04395566438391906,0.02300781528877549,0.008017435513613022,0.06261143419531524,0.03111229233499925,0.06439093630036007,0.02644109573962399,0.03305620522869403,0.0037137458374838423,0.029584240344533157
Syt1,1.451775728906459,2.0139366605285214,2.1898721389446494,0.8995520040139424,1.039902981836831,1.462659320209954,1.6263863919730681,0.19836518778240403,0.016467338885583195,0.3767613494499685,0.7645009425540218,0.5493844917809846,0.5640536809225399,0.19363318552297362
Creb1,0.014816906496937829,0.014312708087672698,0.015890358739418478,0.020411873972409362,0.02274310988993797,0.019360106871245508,0.020943178580927115,0.00271616168359868,0.004852224962261797,0.002965549722561897,0.0034751689168908157,0.000515040643381343,0.004922704172868442,0.001490907084886127
Tacr1,0.58604560211301,0.4915420990658403,0.30453488477738166,0.5930537154485203,0.4013744493559491,0.49865641159205376,0.3112067640167166,0.10837817434422564,0.09834381162577102,0.11517393086589456,0.20366036258912013,0.08830945484553998,0.0012034154524335524,0.21302222148588248
Cacna2d1,1.5473025033359364,1.3447633483578585,1.9202002484273444,1.1066716577605875,1.7332016381446662,0.912562491160537,1.523551942222195,1.2332677419553202,0.6524062863186635,0.8405045719240205,1.013648745872355,0.21250851663048892,0.4349863949133887,0.626163427067512
Kctd8,1.2995228243975243,0.07606603208053817,0.20867510189325233,1.4503656260525366,1.600471690825436,0.22110719880849014,0.3694175553035477,1.2105181801046279,1.0769881930517917,1.3962168943492892,0.017036581917848858,1.23561258007002,0.15572356569217888,0.15678259888821253
Kctd16,4.499489492589894,2.615151990442872,2.5008276955338933,4.77814660057532,4.628677465356928,2.8740140891189094,2.7855273421522972,1.5230976345130507,1.6481875646873831,1.8004348343874808,0.34908515347500446,1.9249691609709918,0.25629212909673166,0.06903912623877576
Plcb1,1.0614996052190326,1.1014344769718176,1.212805035509062,1.2309802418493296,1.353610194121867,1.2689753099172092,1.3847315630920831,0.048664013097106204,0.18364971820562856,0.12229258434375093,0.03871192804515502,0.015771526175110122,0.16197441423135864,0.12705777810479668
Gabra2,0.9987045423825367,1.0797993273157895,1.0733655379919005,0.8041058966118169,0.8085471203576953,0.8840003170576535,0.8898339845527835,0.11376795471875392,0.11964961182186838,0.06822716600884185,0.18295539620687562,0.06805911981379952,0.190829606805011,0.004297206992732323
Slc4a4,0.17809914111713646,0.4225619273763812,0.4384943088458425,0.2892776621615266,0.2753295764021988,0.3075772669065795,0.3227437776704161,0.4774143367681795,0.4923487454416723,0.5852624712140454,0.1257764303578476,0.5995818813811526,0.10976281899728159,0.01538698633443945
