,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli1,Gli2_Gli3,Gli2,Gli3
Col6a2,1.6981168183022255,1.3833647942765113,1.3042050899532611,1.0010655712819503,0.6806189222932689,0.3830711204369222,0.2852149970208149
Khsrp,0.11736001552269736,0.1371906152871096,0.047862679260589513,0.023882769503263908,0.142699890000996,0.16371700804012956,0.025173354481627074
Prf1,0.010733601094791273,0.012783201892042228,0.05832217528923591,0.08442462768439314,0.1012439677238501,0.07715327453650427,0.017380613893934325
Rela,0.031289110059932276,0.007797228203087834,0.047111289539490245,0.0071778222014859516,0.026862180225330184,0.01390019917314034,0.040443566362188856
Lox,0.08618912644578686,0.017125751396820814,0.04471177782817558,0.05759049955672846,0.14733848215574297,0.04394495350803043,0.10228261344659094
Col1a1,0.6869687289796677,0.534248032095721,0.48283807007930546,0.3257270585227098,0.371217918550084,0.20243527085828586,0.1700076143420585
Hmox1,0.0020824099097734336,0.009153574523265607,0.002291215256106502,0.009176147828563463,0.0073138296905392395,0.0003273164640760109,0.006935723418308296
Ncl,0.09328292994542145,0.05006341101618523,0.19732054808371666,0.15232021167448695,0.0584436856661285,0.10392413384582358,0.04626609920273209
Col4a1,2.6840152486136244,2.72145978798695,1.9991841838175717,2.025589855411335,0.6810369837735584,0.7020852331993205,0.007912162298320995
Col6a3,1.2080948934019857,1.1266286123870906,1.8565538797104375,1.7772131348218156,0.5686660212159058,0.6270823501084772,0.05585354793053615
Mylk,2.352068719747146,1.7443555176184666,1.9070743831401087,1.2836197525583082,1.033720907864389,0.4415740482924072,0.5962473908288899
Il7r,0.2593067826029137,0.20282532031796174,0.10299560494936755,0.04122607362713736,0.2049822963378438,0.15296264813987806,0.06026486479116364
Smarcc1,0.2653137575244066,0.13351946630267822,0.1440023483006621,0.015317762614050573,0.2610173148920386,0.12545401769945438,0.1327502770839924
Tacr1,0.9339376979870669,0.0802174942399724,0.2621588440704917,0.7796437010887722,1.686455032235348,0.689552725409997,1.0164868878518025
Slit1,0.5045453617004916,0.7236181310702173,0.5057172617464444,0.2869048842676613,0.8100786374990757,1.0241464079867642,0.2181857340546695
Gp1ba,0.018732664592762984,0.0069706238898308214,0.04736759047223801,0.031523972413498746,0.016617343048135374,0.025270286585135804,0.0124718801602264
Tcf7,0.4191202999003974,0.214279614606861,0.3957766280041619,0.19347158838797562,0.2416544821509332,0.019276263901209033,0.22083612443045209
Plcb1,15.151903029825778,13.598751044207663,9.085658219653396,7.467538901424516,7.719910223649805,6.186964158963729,1.5846339688270028
E2f3,0.3485939949349441,0.1909900446888772,0.18928280084633128,0.035211914197928636,0.3119356720767888,0.15429220536690333,0.15485337893480217
Lta,1.9097350238716744,1.3991285788284817,1.458390462617919,0.9585050946140887,0.8797581210380656,0.391800657320334,0.4971050122340741
Slc4a4,2.4649427703249205,2.7032074352805004,1.848266248142265,2.0723015949170023,0.38728145903328964,0.6253212639085765,0.22842690591253226
Lama3,0.5680143610402216,0.3386739892020716,0.7461871925069496,0.5120125844614696,0.04517361414957378,0.17993257832959425,0.23268457863220632
Cdh11,8.478053285538818,8.407050516133282,6.408576779022759,6.233624172797014,2.241786164500343,2.140391337758384,0.18283665052034545
Stab1,0.2141740741982982,0.1758831811961456,0.12149340942263946,0.09074919218808024,0.13092674578040958,0.09494068072811512,0.04213888859565066
Kcnmb2,27.163639230079923,22.34003899265097,15.450392645690558,10.561322934875998,16.706193471704857,11.702272891089814,5.027785916949112
Id2,0.11766850742404952,0.05784596581655434,0.04712616440265309,0.013444267235011525,0.13210996086803445,0.06951843946555149,0.06236893808927801
Ccl5,0.055384741760049434,0.03298749854741036,0.04791725488662371,0.018987264450936535,0.04398507333597708,0.015874940617294178,0.0324914074679018
Ddit3,0.007889727377124029,0.028167397893174028,0.01676120772253295,0.03785998088994312,0.03118405836970599,0.012138042579382113,0.019938519713887003
Smad7,0.19614957582800835,0.07339419453425355,0.31773998596651626,0.05758463233502752,0.14425968314403384,0.12481809990584944,0.26073099894927076
Emp1,0.03865156521491858,0.05294495605413926,0.0493803444548711,0.02494353922117868,0.05817829375552786,0.0775564966906851,0.026979211281660705
Id1,0.004502839434939321,0.002155703223053296,0.002871496508168088,0.00042448209008328676,0.00401177191129412,0.0017062515604743505,0.0023138437185286887
Gna14,0.017319729258942054,0.15265100039246238,0.4309766513870549,0.289906679014088,0.3280147009069168,0.45184559794450235,0.1341674055141934
Dcn,3.744397489989406,2.2744181712900087,4.090660518393105,2.5867185921982876,1.0889114289707398,0.3356573237821838,1.4554238674351672
Ppard,0.696281891370424,0.3184086301543954,0.28371181212959223,0.09502740120003052,0.7906619689285216,0.41615158033827604,0.374653286980336
Adam12,3.0739792829623163,1.613287276398927,2.6049748355397764,1.1267797889796247,1.9354331355509033,0.5216600114212533,1.4075246318668906
Mep1a,0.2931765976565344,0.02268113852188241,0.295147212251133,0.009064827135153422,0.302864389093009,0.007596401531203921,0.30496214726892057
Msx1,0.025852735642728553,0.016742773526278776,0.02283152251252768,0.013139963622396887,0.013644357464869292,0.003309438627128877,0.010787843138338513
Myl9,0.4132635647375177,0.26662486522552176,0.28614722921185765,0.1359862462923112,0.27776217879676446,0.13108070171106945,0.15287044457717933
Calcrl,7.565071741424542,7.62932890046132,5.9311751654247225,5.967993952108682,1.6859923305318745,1.6803304419429133,0.0071694457832679696
Hmgb2,0.07779508344431511,0.13794691067716566,0.10058330170007296,0.11571973367899005,0.1826519214617142,0.029365645281861665,0.2115520100668871
Cxcl10,1.5643218073801424,1.1136390213816676,1.308750047352786,0.8605805381886442,0.6581420249102895,0.22684583060460922,0.4095555451664493
E2f4,0.040928129225257376,0.01815226535089895,0.028376965712014576,0.004955949699485775,0.03585487906246876,0.01291283935410003,0.0235676426166455
Irf1,0.09954687338741322,0.06888029080284218,0.040604197845731146,0.0071942398009653035,0.09419673117230125,0.0661824510684601,0.03389943959614315
Tgif1,0.056323674287628314,0.03572316832478263,0.03884290394493114,0.01890149579004422,0.0377370823890444,0.01751006380795439,0.020029287076278973
Ahr,0.3430398165859473,0.8601684942082453,0.31026450326997557,0.8484338708987417,0.5217046945334414,0.006623929891873239,0.5360943021731557
Il18rap,0.04510020213478403,0.04784252771945373,0.04784883311440447,0.15411232409581127,0.18558916368294226,0.08982215503236685,0.10876625894148495
Ptpre,0.43469799844588825,0.36373938717482956,0.36558238985230573,0.29970296289979453,0.14489100212539505,0.07530683729529541,0.06634798318902835
Cxcl15,0.0851444432980067,0.08786852439000167,0.028771707508611615,0.03480521031373345,0.05311584250126516,0.05862404292649642,0.0026115164401923916
Sparc,0.5406965400658945,0.09614531925373596,0.6553892784915569,0.2002327287872518,0.34106621194503345,0.11099909812774406,0.4639229687794219
Dab2,1.9845503938730635,2.3530086098628287,1.541280238175415,1.9061556377776327,0.07620527971961459,0.44400947458804496,0.3655578652396623
Cebpg,0.010525890347742498,0.0009234979833167567,0.003962104181139972,0.013832609459835433,0.025430950465061653,0.015481003526904936,0.009691763669047369
Mxd1,0.02653732631819103,0.038771053633549345,0.07026826308133392,0.058317679564708055,0.08386888889573231,0.0953215308864815,0.012311836175429578
Mest,0.2713521148981551,1.2871507492073027,0.43702836323393346,0.5730539503312804,0.3221543680051811,0.6787846450737777,1.0031460658135947
Rara,0.08550058639650099,0.20034334781388977,0.04339042396590381,0.240801281320982,0.33289346943982406,0.04378834054216678,0.28734045349253867
Nfyb,0.016478341909680835,0.12966764553917412,0.07104629970079536,0.1827486744794324,0.1638260842107842,0.054547589745371994,0.1070481127225626
Tcf19,0.02086820350703012,0.013096455369426862,0.012324065129655051,0.0037799267522799834,0.016042474063049404,0.008769703713289041,0.008045160589532176
Prrx1,1.4722543420048357,2.992510968263875,2.8691777142449237,4.401380459193665,2.9200711221215743,1.4097966684298862,1.535693817047345
Nabp1,0.013266854727986083,0.03691776523440612,0.02173569574766759,0.0017655888619857968,0.011351639299817452,0.036249435180096386,0.026533709455972165
Itgb3,0.0759786520775574,0.6375135630139274,0.08853352877760685,0.6802578686786477,0.6084930324555515,0.04877641858182299,0.5907141728217538
Dpyd,17.748234838424082,16.728351409178106,12.83069758005017,11.647312601446068,6.2451630514977134,5.2340740740740745,1.174590563671241
Cd44,0.33446946636527664,0.17017922731303328,0.058084243005036756,0.4512166395012064,0.8137240400426882,0.2886057170444132,0.5352850393508921
Pura,0.1078315768468473,0.09004834676619615,0.03983988165965946,0.022005574503697372,0.08243791110400878,0.06525057452247833,0.016736155035512228
Atf6,0.28652366581412353,0.11380155042339272,0.2611783298201653,0.09340017239345993,0.19527894399035847,0.01795954280468463,0.17298589096429132
Col12a1,2.709053438067341,3.356930476696333,3.0255387017400546,3.6758187676282867,1.0004791446450036,0.3273864763176916,0.6844467310940918
Hoxc10,0.35596163160888955,0.3294260811363293,0.1171252509509068,0.09202227858105366,0.25741867251276507,0.23138535398419194,0.024798344883615493
Rasgrp1,0.5716001091155201,0.7398774279595001,0.5373212776059483,0.7080991551500219,0.11630505581831471,0.04826292386647505,0.16318734228154827
Slit3,12.727785602609027,8.36463242869558,9.846906068613034,5.459016944003257,7.261180696422611,3.0104713464783606,4.26145092005204
