,Gli2_Gli3,Gli2_Gli1_Gli3,Gli3,Gli1_Gli3,Gli2_Gli1,Gli2,Gli1
Matn2,0.8597796980773257,0.694113623623718,0.5652816213858319,0.40827066470706985,0.18847280049624723,0.3577824498693412,0.1689614651477371
Tfrc,0.007581971748525646,0.011737403142187642,0.0040126589156463536,0.007844973794511604,0.007814916244931837,0.0034716263010240523,0.003824800365400561
Rbpj,0.02730855001473188,0.023620580436063642,0.010251683117265762,0.006695424830583382,0.014817742707719508,0.017270902695934003,0.002535480443429582
Lcp2,0.3936989713057394,0.329410716607478,0.0316329901054327,0.03729510642445763,0.2860107536806056,0.3532362536847025,0.06677915377107761
Mapk10,1.8559387385313475,1.1187193859611362,1.6762151212005811,0.9389508392331032,0.5654230893962195,0.17547923042064936,0.7395549276952246
Pde4b,8.567370112603239,7.238848104880459,3.2611141045986565,1.9026086971755465,4.15368209812972,5.453861653157599,1.3300136070902027
Itpr2,0.25269587346072697,0.45833740650861843,0.18366567894861846,0.03761777887781286,0.6106315776389166,0.40733897762692556,0.220804332423334
Lef1,0.009594044991225306,0.017936048196829972,0.06040173620512608,0.03144920616091006,0.07652269950533776,0.04829620093387921,0.02873027558276467
Hif1a,0.002924404587012852,0.0008706243013854036,0.0006027398707086642,0.0014845260319552335,0.0003683410383418979,0.0020314565471786414,0.0025114161279527676
Hes1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbln5,0.16644883655692871,0.08376207702022315,0.00534095379893383,0.0884911098554928,0.0904694582538538,0.17633464599138535,0.08573448648214181
Nrp2,2.4897722665154047,2.250374478723516,1.735515078939905,1.5030796541980485,0.5944498786751962,0.8228532652653916,0.222818517001229
